"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"302877",0,2,1,0,0,1,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0
"302302",0,1,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"3163659",0,15,0,0,321,0,0,0,0,8,0,29,0,0,3,0,0,9,0,0,0,0
"1030212",0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"529176",3,3,0,1,0,0,3,0,0,1,0,0,0,0,7,0,4,16,0,0,0,0
"38338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"711803",8,42,38,39,11,209,13,14,43,43,87,62,86,101,52,264,212,62,48,0,1,0
"150891",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
"47463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"353899",0,1,0,0,0,0,0,0,3,0,1,0,0,2,0,1,1,0,0,0,0,0
"550712",17,124,42,31,21,3,18,22,79,98,6,146,16,139,15,63,49,100,29,0,0,0
"297719",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4321937",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"836055",1,8,1,0,0,0,1,2,0,4,0,1,1,0,2,0,0,1,0,0,0,0
"956625",1,1,7,1,0,0,1,1,1,2,2,0,2,3,2,8,11,0,0,0,0,0
"1125006",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"1084157",838,3736,222,63,5126,627,644,772,561,4941,1210,4940,64,2561,424,1082,565,6585,970,7,6,8
"191698",0,22,3,0,1,34,0,0,4,10,23,4,14,5,1,46,32,0,6,0,0,0
"898207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
